Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
50,Bismack Biyombo,C,29,PHO,32,423,16.7,0.578,0,0.5,15,20.2,17.7,5.8,1.3,4.6,13.7,17.9,,0.6,0.8,1.4,0.156,,-2.2,0.3,-1.9,0
51,Nemanja Bjelica,C,33,GSW,67,1058,13.2,0.556,0.438,0.233,5.7,21.4,13.8,19,1.7,2.2,18.6,17.7,,0.6,1.9,2.4,0.111,,-1.6,2.2,0.6,0.7
52,Eric Bledsoe,PG,32,LAC,54,1361,12.6,0.514,0.348,0.25,2.2,11.7,7.1,24.2,2.5,1.2,18.3,20.5,,-0.5,1.7,1.2,0.044,,-2.1,1.2,-0.9,0.4
53,Keljin Blevins,SF,26,POR,26,269,6.4,0.446,0.625,0.102,5.9,9.3,7.5,9.1,1.5,0.4,13.2,17,,-0.3,0,-0.2,-0.042,,-4,-3.4,-7.4,-0.4
54,Bogdan Bogdanović,SG,29,ATL,59,1724,15.1,0.561,0.575,0.145,1.7,12.5,7.2,15.2,1.8,0.7,8.1,21.5,,2.2,1,3.2,0.089,,1.2,-0.3,0.9,1.3
55,Bojan Bogdanović,PF,32,UTA,66,2033,15.7,0.599,0.505,0.271,3.1,11.7,7.6,8.9,0.7,0,10.1,23.7,,3.5,1.3,4.8,0.114,,1.7,-1.8,-0.1,1
56,Bol Bol,PF,22,DEN,14,81,13.6,0.565,0.148,0.185,5.7,21.3,13.8,9.2,0.6,2.3,12,18,,0,0.1,0.1,0.067,,-0.5,-0.4,-1,0
57,Leandro Bolmaro,SF,21,MIN,34,223,4.1,0.391,0.378,0.244,7,12.2,9.6,9.5,1.3,0,20.7,11.8,,-0.2,0.2,-0.1,-0.013,,-5.8,-0.5,-6.2,-0.2
58,Isaac Bonga,SF,22,TOR,15,69,8.8,0.363,0.308,0.615,6,5,5.5,7.3,5.8,2.8,10.8,11.5,,0,0.1,0.1,0.06,,-5.4,5,-0.5,0
59,Devin Booker,SG,25,PHO,66,2277,21.2,0.574,0.338,0.259,2.2,13.1,7.8,22.5,1.6,1,9.5,32,,4.2,3.2,7.4,0.156,,3.7,0.2,3.9,3.4
