Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
58,Isaac Bonga,SF,22,TOR,15,69,8.8,0.363,0.308,0.615,6,5,5.5,7.3,5.8,2.8,10.8,11.5,,-0.1,0.1,0.1,0.06,,-5.4,5,-0.4,0
59,Devin Booker,SG,25,PHO,67,2307,21.3,0.576,0.339,0.257,2.2,13.2,7.9,22.6,1.6,1,9.4,32,,4.3,3.3,7.5,0.156,,3.8,0.2,4,3.5
60,Brandon Boston Jr.,SG,20,LAC,50,722,10.9,0.478,0.352,0.219,2.4,12.6,7.6,9.6,1.7,1.4,8.1,22.5,,-0.5,0.8,0.3,0.018,,-3,-0.5,-3.5,-0.3
61,Chris Boucher,PF,29,TOR,78,1638,17.9,0.57,0.392,0.326,11,21.4,15.9,1.9,1.5,4.4,6.2,17.8,,3.3,2.4,5.7,0.168,,0.4,-0.4,0,0.8
62,James Bouknight,SG,21,CHO,30,302,10.1,0.459,0.353,0.223,7.6,10.3,8.9,12,1.1,0.3,8.9,23.6,,-0.1,0.1,0,0,,-3.3,-3.7,-7,-0.4
63,Avery Bradley,SG,31,LAL,62,1406,7.9,0.55,0.6,0.051,2.4,8,5.2,4.5,1.8,0.6,9.6,12.1,,0.3,0.9,1.2,0.04,,-3.6,-0.1,-3.7,-0.6
64,Tony Bradley,C,24,CHI,54,534,14.6,0.599,0,0.235,12.9,24.5,18.7,6.6,0.9,5.2,19.6,13,,0.6,0.7,1.3,0.113,,-2.1,0.4,-1.7,0
65,Ignas Brazdeikis,SF,23,ORL,41,511,9.7,0.511,0.461,0.163,4.5,9.3,6.9,10.3,0.9,0.5,8.2,17.6,,0.1,0.3,0.3,0.031,,-2.9,-1.6,-4.6,-0.3
66,Mikal Bridges,SF,25,PHO,80,2814,14.5,0.626,0.366,0.181,2.9,9.9,6.5,8.6,1.6,1.1,6.8,15,,5.1,3.7,8.8,0.15,,0.5,1.1,1.6,2.6
67,Miles Bridges,PF,23,CHO,78,2781,17.9,0.593,0.382,0.277,3.3,17.8,10.4,15.8,1.3,2.2,10,22.7,,4.9,2.2,7.1,0.122,,1.8,-0.3,1.5,2.5
68,Oshae Brissett,SF,23,IND,65,1500,12.3,0.521,0.466,0.317,7.5,18.1,12.7,6.3,1.4,1.7,9.1,17,,1,0.9,1.9,0.062,,-0.8,-1.6,-2.4,-0.1
69,Malcolm Brogdon,PG,29,IND,36,1206,18.1,0.557,0.343,0.308,3,14.2,8.5,27,1.2,1,11.1,24.6,,2.3,0.5,2.7,0.109,,2.8,-0.5,2.3,1.3
70,Armoni Brooks,SG-PG,23,TOT,52,811,8.7,0.487,0.858,0.067,2.5,10.7,6.5,10.4,1.7,1.2,8.2,16.5,,-0.1,0.4,0.3,0.016,,-2.4,-1.2,-3.6,-0.3
70,Armoni Brooks,SG,23,HOU,41,690,8.4,0.49,0.849,0.076,1.9,11.1,6.4,10.3,1.4,1,8.1,17.3,,-0.2,0.2,0,0.003,,-2.6,-1.8,-4.4,-0.4
70,Armoni Brooks,PG,23,TOR,11,121,10.6,0.468,0.935,0,6,8.5,7.2,10.9,2.9,2.4,8.8,12,,0.1,0.2,0.2,0.09,,-1.2,2.1,0.9,0.1
